2_450,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_530,2,,,,,,,,,,
2_370,1,,,,,,,,,,
2_490,2,,,,,,,,,,
2_470,1,,,,,,,,,,
2_370,1,,,,,,,,,,
2_490,2,,,,,,,,,,
2_450,1,,,,,,,,,,
2_470,2,,,,,,,,,,
2_390,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_470,2,,,,,,,,,,
2_430,2,,,,,,,,,,
2_510,2,,,,,,,,,,
2_490,2,,,,,,,,,,
2_530,2,,,,,,,,,,
2_490,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_430,2,,,,,,,,,,
3_450,2,,,,,,,,,,
3_490,2,,,,,,,,,,
3_510,2,,,,,,,,,,
3_410,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_390,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_410,2,,,,,,,,,,
3_390,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_410,2,,,,,,,,,,
3_510,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_410,2,,,,,,,,,,
3_470,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_530,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_510,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_510,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_530,2,,,,,,,,,,
3_410,1,,,,,,,,,,
3_430,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_450,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_450,1,,,,,,,,,,
3_370,1,,,,,,,,,,
